Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.197 , 0.257 , 0.988 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.199 , 0.247 , 0.973 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.202 , 0.265 , 0.976 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.205 , 0.261 , 0.973 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.208 , 0.255 , 0.979 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.189 , 0.242 , 0.987 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.201 , 0.262 , 0.973 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.204 , 0.259 , 0.981 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.199 , 0.255 , 0.97 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.206 , 0.261 , 0.96 
Raw Acc: , 0.195 , -0.249 , -0.949 , Grav: , -0.2 , 0.249 , 0.978 
Raw Acc: , 0.194 , -0.249 , -0.949 , Grav: , -0.189 , 0.264 , 0.983 
Raw Acc: , 0.194 , -0.249 , -0.949 , Grav: , -0.188 , 0.258 , 0.959 
Raw Acc: , 0.194 , -0.249 , -0.949 , Grav: , -0.201 , 0.259 , 0.98 
Raw Acc: , 0.194 , -0.249 , -0.949 , Grav: , -0.205 , 0.249 , 0.963 
Raw Acc: , 0.194 , -0.249 , -0.949 , Grav: , -0.188 , 0.263 , 0.962 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.14 , 0.259 , 0.986 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.199 , 0.249 , 0.969 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.195 , 0.266 , 0.983 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.194 , 0.254 , 0.962 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.21 , 0.254 , 0.971 
Raw Acc: , 0.192 , -0.247 , -0.95 , Grav: , -0.201 , 0.189 , 0.969 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.2 , 0.312 , 0.967 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.207 , 0.248 , 0.981 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.203 , 0.252 , 0.982 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.196 , 0.26 , 0.979 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.207 , 0.254 , 0.967 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.206 , 0.255 , 0.984 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.19 , 0.25 , 0.978 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.198 , 0.252 , 0.971 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.203 , 0.254 , 0.961 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.198 , 0.256 , 0.98 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.199 , 0.254 , 0.966 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.207 , 0.251 , 0.972 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.192 , 0.256 , 0.98 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.194 , 0.259 , 0.981 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.193 , 0.254 , 0.971 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.201 , 0.259 , 0.972 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.19 , 0.251 , 0.974 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.198 , 0.247 , 0.978 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.197 , 0.254 , 0.989 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.186 , 0.268 , 0.979 
